,,,PHOTOS,DOC TYPE,NOTES,PLANT NO.,,
Carex subbracteata,SMALL-BRACTED SEDGE,,http://www.flickr.com/search/?q=jrbp Carex subbracteata,SPEC,Adaxial peri veins << fr (vs C. harfordii),620,,
Carex tumulicola,FOOTHILL SEDGE,,http://www.flickr.com/search/?q=jrbp Carex tumulicola,SPEC,,621,,
*Cyperus difformis,VARIABLE FLATSEDGE,,http://www.flickr.com/search/?q=jrbp Cyperus difformis,SPEC,Collected in 1980; not reported since,853,,
Cyperus eragrostis,TALL CYPERUS,,http://www.flickr.com/search/?q=jrbp Cyperus eragrostis,SPEC,,622,,
Cyperus erythrorhizos,RED-ROOTED CYPERUS,,http://www.flickr.com/search/?q=jrbp Cyperus erythrorhizos,SPEC,,623,,
Eleocharis macrostachya,COMMON SPIKERUSH,,http://www.flickr.com/search/?q=jrbp Eleocharis macrostachya,SPEC,,626,,
Schoenoplectus acutus var. occidentalis (Scirpus a. var. o.),COMMON TULE,,http://www.flickr.com/search/?q=jrbp Schoenoplectus acutus,SPEC,,627,,
Scirpus microcarpus,SMALL-FRUITED BULLRUSH,,http://www.flickr.com/search/?q=jrbp Scirpus microcarpus,SPEC,,628,,
HYDROCHARITACEAE – WATERWEED FAMILY,,,,,,,,
Najas guadalupensis ssp. guadalupensis,COMMON WATER-NYMPH,,,REP,"Dengler 1975; Grundmann 3/92, not  reported since",631,,
Najas marina,HOLLY-LEAVED WATER-NYMPH,,,REP,Lennihan and Woodward 11/2/92; not reported since,632,,
IRIDACEAE – IRIS FAMILY,,,,,,,,
Iris douglasiana,DOUGLAS’ IRIS,,http://www.flickr.com/search/?q=jrbp Iris douglasiana,SPEC,Abundant at Douglas Iris site,633,,
*Iris foetidissima,CORAL IRIS,,http://www.flickr.com/search/?q=jrbp Iris foetidissima,SPEC,,634,,
*Iris pseudacorus,TALL YELLOW IRIS,,http://www.flickr.com/search/?q=jrbp Iris pseudacorus,SPEC,,636,,
Sisyrinchium bellum,WESTERN BLUE-EYED-GRASS,,http://www.flickr.com/search/?q=jrbp Sisyrinchium bellum,SPEC,,637,,
JUNCACEAE – RUSH FAMILY,,,,,,,,
Juncus bolanderi,BOLANDER'S RUSH,,http://www.flickr.com/search/?q=jrbp Juncus bolanderi,SPEC,Bank of Corte Madera Cr; not seen since 2004,638,,
Juncus bufonius var. bufonius,TOAD RUSH,,http://www.flickr.com/search/?q=jrbp Juncus bufonius bufonius,SPEC,Perianth 4–7.3 mm (vs J.b. var. occidentalis),639,,
Juncus bufonius var. occidentalis,WESTERN TOAD RUSH,,http://www.flickr.com/search/?q=jrbp western toad rush,SPEC,Perianth <4 mm (vs J.b. var. bufonius),915,,
Juncus effusus ssp. pacificus (J. e. var. pacificus),SOFT OR LAMP RUSH,,http://www.flickr.com/search/?q=jrbp Juncus effusus,SPEC,"Stamens 3; culms bright green; sheath tip thickened, with a raised rim; sheath generally dark brown to black (vs J. hesperius)",640,,
Juncus hesperius (Juncus effusus var. brunneus),COAST OR BOG RUSH,,http://www.flickr.com/search/?q=jrbp Juncus hesperius,SPEC,Stamens 3; culms bright green; sheath tip thin with broad membranous wings; sheath green when fresh to pale or mid-brown when dry (vs J. effusus. ssp. pacificus). First collected in 2008; uncommon,933,,
Juncus occidentalis,WESTERN RUSH,,http://www.flickr.com/search/?q=jrbp western rush perennial,SPEC,,642,,
Juncus patens,SPREADING RUSH,,http://www.flickr.com/search/?q=jrbp Juncus patens,SPEC,Stamens 6; culms gray-green (vs J. effusus & J. hesperius),643,,
Juncus phaeocephalus var. paniculatus,BROWN-HEADED RUSH,,http://www.flickr.com/search/?q=jrbp Juncus phaeocephalus,SPEC,Lf blades iris-like; fr gradually tapered to long beak; stigma long exerted (vs. J xiphioides),644,,
Juncus xiphioides,IRIS-LEAVED RUSH,,http://www.flickr.com/search/?q=jrbp Juncus xiphioides,SPEC,Lf blades iris-like; fr gen abruptly tapered to beak; stigma not long exerted (vs. J phaeocephalus),645,,
Luzula comosa var. comosa,COMMON WOOD RUSH,,http://www.flickr.com/search/?q=jrbp Luzula comosa,SPEC,,646,,
JUNCAGINACEAE – ARROW-GRASS FAMILY,,,,,,,,
Triglochin scilloides (Lilaea s.),FLOWERING-QUILLWORT,,http://www.flickr.com/search/?q=jrbp Triglochin,REP,Dengler 1975; Herbarium 2005: “near preserve boundary at Boething Site”,647,,
"LILIACEAE – LILY FAMILY (see also AGAPANTHACEAE, AGAVACEAE, ALLIACEAE, AMARYLLIDACEAE, ASPARAGACEAE, ASPHODELACEAE, MELANTHIACEAE, RUSCACEAE, THEMIDACEAE)",,,,,,,,
Calochortus albus,"WHITE GLOBE LILY, FAIRY-LANTERN",,http://www.flickr.com/search/?q=jrbp Calochortus albus,SPEC,,664,,
Calochortus argillosus,CLAY MARIPOSA LILY,,http://www.flickr.com/search/?q=jrbp Calochortus argillosus,SPEC,Similar to C. venustus but w/o splotch in upper third of tepal.,821,,
Calochortus luteus,YELLOW MARIPOSA,,http://www.flickr.com/search/?q=jrbp Calochortus luteus,SPEC,,665,,
Fritillaria affinis (F. affinis var. a.),CHECKER LILY,,http://www.flickr.com/search/?q=jrbp Fritillaria affinis,SPEC,,674,,
N Hyacinthoides hispanica,SPANISH BLUEBELL,,http://www.flickr.com/search/?q=jrbp Hyacinthoides hispanica,SPEC,Near Douglas Iris site; persistent,673,,
Lilium pardalinum ssp. pardalinum,LEOPARD LILY,,http://www.flickr.com/search/?q=jrbp Lilium pardalinum,SPEC,Moeur 1947 “deep shade of redwood area”; thriving as of 2013.,676,,
"Prosartes hookeri
 (Disporum h.)",HOOKER'S FAIRY BELL,,http://www.flickr.com/search/?q=jrbp Disporum hookeri,SPEC,,671,,
Scoliopus bigelovii,SLINK POD,,http://www.flickr.com/search/?q=jrbp Scoliopus bigelovii,spec,Collected in 1867; not reported since,678,,
MELANTHIACEAE – FALSE-HELLEBORE FAMILY,,,,,,,,
Toxicoscordion fremontii (Zigadenus f.),FREMONT'S STAR LILY,,http://www.flickr.com/search/?q=jrbp Toxicoscordion,SPEC,,685,,
Trillium chloropetalum,GIANT TRILLIUM,,http://www.flickr.com/search/?q=jrbp Trillium chloropetalum,SPEC,,681,,
ORCHIDACEAE – ORCHID FAMILY,,,,,,,,
Corallorhiza maculata var. maculata,SPOTTED CORALROOT,,http://www.flickr.com/search/?q=jrbp Corallorhiza maculata,SPEC,Uncommon Trail 12; not seen since 2002,686,,
Corallorhiza maculata var. occidentalis,CORALROOT,,http://www.flickr.com/search/?q=jrbp Corallorhiza occidentalis,DOC,Single location N side of Tr. 11 near lower Tr. 9 terminus,930,,
Corallorhiza striata,STRIPED CORALROOT,,http://www.flickr.com/search/?q=jrbp Corallorhiza striata,SPEC,,687,,
*Epipactis helleborine,BROAD-LEAVED HELLEBORINE,,http://www.flickr.com/search/?q=jrbp Epipactis helleborine,SPEC,,688,,
Piperia elegans ssp. elegans (P. elegans),COAST OR ELEGANT PIPERIA,,http://www.flickr.com/search/?q=jrbp Piperia elegans,SPEC,"Springer 1935 “three specimens seen in shady woods, in June and July.” Single station Tr. b",689,,
« Piperia michaelii,MICHAEL'S REIN-ORCHID,,http://www.flickr.com/search/?q=jrbp Piperia michaelii,SPEC,RANK 4.2. Moeur 1947 “Rare in shady woods. June.” Single location E. of Goya Gate.,833,,
Piperia transversa,FLAT SPURRED PIPERIA,,http://www.flickr.com/search/?q=jrbp Piperia transversa,SPEC,Road E; Trail 4; Bird Path behind Hillside Lab usually growing near madrone; Tr. c,840,,
POACEAE – GRASS FAMILY (see JRBP E-Flora Poaceae),,,,,,,,
*Agrostis avenacea,PACIFIC BENT GRASS,,http://www.flickr.com/search/?q=jrbp Agrostis avenacea,spec,Collected 1979-1982 at W edge of Searsville Lake at old bathing beach; not reported since but naturalized nearby in Crystal Springs area.,867,,
*Agrostis capillaris,COLONIAL BENT,,http://www.flickr.com/search/?q=jrbp Agrostis capillaris,SPEC,,849,,
Agrostis exarata,SPIKE BENT GRASS,,http://www.flickr.com/search/?q=jrbp Agrostis exarata,SPEC,,691,,
Agrostis hallii,HALL'S BENT GRASS,,http://www.flickr.com/search/?q=jrbp Agrostis hallii,SPEC,,692,,
Agrostis microphylla,SMALL-LEAF BENT GRASS,,http://www.flickr.com/search/?q=jrbp Agrostis microphylla,SPEC,,693,,
Agrostis pallens,DUNE BENT GRASS,,http://www.flickr.com/search/?q=jrbp Agrostis pallens,SPEC,,694,,
*Agrostis stolonifera,CREEPING BENT,,http://www.flickr.com/search/?q=jrbp Agrostis stolonifera,SPEC,,860,,
*Aira caryophyllea,SILVER HAIR GRASS,,http://www.flickr.com/search/?q=jrbp Aira,SPEC,,696,,
Anthoxanthum occidentale (Hierochloe occidentalis),CALIFORNIA SWEET GRASS,,http://www.flickr.com/search/?q=jrbp Anthoxanthum occidentale,spec,Collected in 1867; reported Dengler 1975; not reported since,735,,
*Arrhenatherum elatius,TALL OAT GRASS,,http://www.flickr.com/search/?q=jrbp Arrhenatherum,SPEC,,868,,
*Avena barbata,SLENDER WILD OAT,,http://www.flickr.com/search/?q=jrbp Avena barbata,SPEC,,697,,
*Avena fatua,WILD OAT,,http://www.flickr.com/search/?q=jrbp Avena fatua,SPEC,,698,,
*Brachypodium distachyon,PURPLE FALSE BROME,,http://www.flickr.com/search/?q=jrbp Brachypodium distachyon,SPEC,,699,,
*Brachypodium sylvaticum,SLENDER FALSE BROME,,http://www.flickr.com/search/?q=jrbp Brachypodium sylvaticum,SPEC,,896,,
*Briza maxima,"RATTLESNAKE GRASS, LARGE QUAKING GRASS",,http://www.flickr.com/search/?q=jrbp Briza maxima,SPEC,,700,,
*Briza minor,"ANNUAL QUAKING GRASS, SMALL QUAKING GRASS",,http://www.flickr.com/search/?q=jrbp Briza minor,SPEC,,701,,
*Bromus berteroanus (B. trinii),CHILEAN CHESS,,http://www.flickr.com/search/?q=jrbp Bromus berteroanus,SPEC,,710,,
Bromus carinatus var. carinatus,CALIFORNIA BROME,,http://www.flickr.com/search/?q=jrbp Bromus carinatus,SPEC,,702,,
*Bromus catharticus var. catharticus,RESCUE GRASS,,http://www.flickr.com/search/?q=jrbp Bromus catharticus,SPEC,,871,,
*Bromus commutatus,"HAIRY CHESS, MEADOW BROME",,http://www.flickr.com/search/?q=jrbp Bromus commutatus,REP,not reported since Dengler 1975,705,,
*Bromus diandrus,RIPGUT GRASS,,http://www.flickr.com/search/?q=jrbp Bromus diandrus,SPEC,,703,,
*Bromus hordeaceus,SOFT CHESS,,http://www.flickr.com/search/?q=jrbp Bromus hordeaceus,SPEC,,704,,
Bromus laevipes,CHINOOK BROME OR WOODLAND BROME,,http://www.flickr.com/search/?q=jrbp Bromus laevipes,SPEC,,706,,
*Bromus madritensis ssp. madritensis,"FOXTAIL CHESS, MADRID BROME",,http://www.flickr.com/search/?q=jrbp Bromus madritensis madritensis,SPEC,,707,,
*Bromus madritensis ssp. rubens,RED BROME,,http://www.flickr.com/search/?q=jrbp Bromus madritensis rubens,SPEC,,708,,
*Bromus racemosus,SMOOTH BROME,,,REP,Springer 1935; Dengler 1975; not reported since,918,,
*Bromus sterilis,POVERTY BROME,,http://www.flickr.com/search/?q=jrbp Bromus sterilis,SPEC,,846,,
*Bromus tectorum,"CHEAT GRASS, DOWNY CHESS",,http://www.flickr.com/search/?q=jrbp Bromus tectorum,SPEC,Springer 1935; collected in 1981 and 1983 near Searsville Lab; not reported since,709,,
Bromus vulgaris,COLUMBIA BROME,,http://www.flickr.com/search/?q=jrbp Bromus vulgaris,SPEC,,711,,
Calamagrostis koelerioides,DENSE-PINE REED GRASS,,http://www.flickr.com/search/?q=jrbp Calamagrostis koelerioides,spec,Collected in 1962; not reported since,712,,
Calamagrostis rubescens,PINE REED GRASS,,http://www.flickr.com/search/?q=jrbp Calamagrostis rubescens,SPEC,,713,,
*Cortaderia selloana,PAMPAS GRASS,,http://www.flickr.com/search/?q=jrbp Cortaderia selloana,SPEC,,714,,
*Crypsis schoenoides,SWAMP PRICKLE GRASS,,http://www.flickr.com/search/?q=jrbp Crypsis schoenoides,SPEC,,715,,
*Crypsis vaginiflora,MODEST PRICKLE GRASS,,http://www.flickr.com/search/?q=jrbp Crypsis vaginiflora,SPEC,Collected in 1976 in mud in Searsville Lake–Corte Madera Cr Delta; not reported since,716,,
*Cynodon dactylon,BERMUDA GRASS,,http://www.flickr.com/search/?q=jrbp Cynodon dactylon,SPEC,,717,,
*Cynosurus echinatus,BRISTLY DOGTAIL GRASS,,http://www.flickr.com/search/?q=jrbp Cynosurus,SPEC,,718,,
*Dactylis glomerata,ORCHARD GRASS,,http://www.flickr.com/search/?q=jrbp Dactylis glomerata,SPEC,,719,,
Danthonia californica,CALIFORNIA OAT GRASS,,http://www.flickr.com/search/?q=jrbp Danthonia,SPEC,,720,,
Deschampsia danthonioides,ANNUAL HAIR GRASS,,http://www.flickr.com/search/?q=jrbp Deschampsia danthonioides,SPEC,,721,,
Deschampsia elongata,SLENDER HAIR GRASS,,http://www.flickr.com/search/?q=jrbp Deschampsia elongata,SPEC,,722,,
*Digitaria sanguinalis,HAIRY CRAB GRASS,,http://www.flickr.com/search/?q=jrbp Digitaria,SPEC,,723,,
*Echinochloa crus- galli,COMMON BARNYARD GRASS,,http://www.flickr.com/search/?q=jrbp Echinochloa,SPEC,,724,,
*Ehrharta erecta,PANIC VELDT GRASS,,http://www.flickr.com/search/?q=jrbp Ehrharta erecta,SPEC,,831,,
Elymus glaucus ssp. glaucus,BLUE OR WESTERN WILD-RYE,,http://www.flickr.com/search/?q=jrbp elymus glaucus,SPEC,,725,,
Elymus glaucus ssp. virescens,GREEN WESTERN WILD-RYE,,http://www.flickr.com/search/?q=jrbp elymus glaucus virescens,SPEC,,726,,
Elymus x gouldii (E. multiflorus),HYBRID WILD-RYE,,http://www.flickr.com/search/?q=jrbp elymus gouldii,SPEC,,916,,
N Elymus x hansenii (E. glaucus x. multisetus),HYBRID SQUIRRELTAIL,,http://www.flickr.com/search/?q=jrbp elymus hybrid,SPEC,,796,,
Elymus multisetus,BIG SQUIRRELTAIL,,http://www.flickr.com/search/?q=jrbp elymus multisetus,SPEC,,727,,
Elymus triticoides (Leymus t.),BEARDLESS WILD-RYE,,http://www.flickr.com/search/?q=jrbp%20Elymus%20triticoides,SPEC,,743,,
Eragrostis mexicana ssp. virescens,ORCUTT’S ERAGROSTIS,,http://www.flickr.com/search/?q=jrbp Eragrostis,SPEC,,,,
Eragrostis pectinacea var. pectinacea,CAROLINA LOVE GRASS,,http://www.flickr.com/search/?q=jrbp Eragrostis pectinacea,SPEC,,729,,
*Festuca arundinacea,TALL FESCUE,,http://www.flickr.com/search/?q=jrbp Festuca arundinacea,SPEC,,818,,
"*Festuca bromoides
 (Vulpia b.)",BROME FESCUE,,http://www.flickr.com/search/?q=jrbp Festuca bromoides,SPEC,,769,,
Festuca californica,CALIFORNIA FESCUE,,http://www.flickr.com/search/?q=jrbp%20Festuca%20californica,SPEC,,731,,
Festuca elmeri,ELMER'S FESCUE,,http://www.flickr.com/search/?q=jrbp%20Festuca%20elmeri,SPEC,,732,,
Festuca microstachys (Vulpia m. var. ciliata and V. m. var. pauciflora),NUTTALL’S FESCUE,,http://www.flickr.com/search/?q=jrbp Vulpia microstachys,SPEC,,770,,
*Festuca myuros (Vulpia m. var. hirsuta and V. m. var. m.),RATTAIL SIXWEEKS GRASS,,http://www.flickr.com/search/?q=jrbp Festuca myuros,SPEC,,772,,
Festuca octoflora (Vulpia o. var. hirtella and V. o. var. o.),SIXWEEKS GRASS,,http://www.flickr.com/search/?q=jrbp vulpia octoflora,SPEC,"Rare. Collected in 1963, 1966 and 2009",801,,
*Festuca perennis (Lolium perenne and L. multiflorum),RYE GRASS,,http://www.flickr.com/search/?q=jrbp Lolium,SPEC,,745,,
Festuca rubra,RED FESCUE,,http://www.flickr.com/search/?q=jrbp Festuca rubra,SPEC,,893,,
*Festuca temulenta (Lolium temulentum),"DARNEL, TARES",,http://www.flickr.com/search/?q=jrbp Lolium temulenta,SPEC,,746,,
*Gastridium phleoides (G. ventricosum),NIT GRASS,,http://www.flickr.com/search/?q=jrbp Gastridium phleoides,SPEC,,734,,
* Glyceria xoccidentalis (G. occidentalis),WESTERN MANNA GRASS,,http://www.flickr.com/search/?q=jrbp Glyceria occidentalis,SPEC,Collected in 2007; not reported since. Taxonomic status and nativity are uncertain,894,,
*Hainardia cylindrica,BARB GRASS,,http://www.flickr.com/search/?q=jrbp Hainardia cylindrica,SPEC,,859,,
*Holcus lanatus,COMMON VELVET GRASS,,http://www.flickr.com/search/?q=jrbp Holcus lanatus,SPEC,,736,,
Hordeum brachyantherum ssp. californicum,CALIFORNIA BARLEY,,http://www.flickr.com/search/?q=jrbp Hordeum brachyantherum,SPEC,,737,,
*Hordeum marinum ssp. gussoneanum,MEDITERRANEAN BARLEY,,http://www.flickr.com/search/?w=all&q=jrbp Hordeum marinum,SPEC,,738,,
*Hordeum murinum ssp. glaucum,SMOOTH BARLEY,,http://www.flickr.com/search/?w=all&q=jrbp Hordeum glaucum,SPEC,,828,,
*Hordeum murinum ssp. leporinum,HARE BARLEY,,http://www.flickr.com/search/?w=all&q=jrbp Hordeum leporinum,SPEC,,739,,
Koeleria macrantha,JUNE GRASS,,http://www.flickr.com/search/?w=all&q=jrbp Koeleria macrantha,SPEC,,741,,
Leptochloa fusca ssp. fascicularis (L. fascicularis),BEARDED SPRANGLETOP,,http://www.flickr.com/search/?w=all&q=jrbp Leptochloa fascicularis,SPEC,,905,,
Leptochloa fusca ssp. uninervia (L. uninervia),MEXICAN SPRANGLETOP,,http://www.flickr.com/search/?w=all&q=jrbp Leptochloa fusca uninervia,spec,First reported Dengler Suppl. 9/1977 Corte Madera Cr delta; collected 1980 same loc; not reported since,742,,
Melica californica,CALIFORNIA MELIC,,http://www.flickr.com/search/?w=all&q=jrbp Melica californica,SPEC,,747,,
Melica imperfecta,LITTLE CALIFORNIA MELICA,,http://www.flickr.com/search/?w=all&q=jrbp Melica imperfecta,SPEC,,749,,
Melica subulata,ALASKAN ONIONGRASS,,http://www.flickr.com/search/?w=all&q=jrbp Melica subulata,SPEC,,852,,
Melica torreyana,TORREY’S MELIC,,http://www.flickr.com/search/?w=all&q=jrbp Melica torreyana,SPEC,,750,,
Panicum capillare,WITCH GRASS,,http://www.flickr.com/search/?w=all&q=jrbp Panicum capillare,SPEC,,870,,
*Paspalum dilatatum,DALLIS GRASS,,http://www.flickr.com/search/?w=all&q=jrbp Paspalum dilatatum,SPEC,,753,,
Paspalum distichum,KNOT GRASS,,http://www.flickr.com/search/?w=all&q=jrbp Paspalum distichum,SPEC,,754,,
*Phalaris aquatica,HARDING GRASS,,http://www.flickr.com/search/?w=all&q=jrbp Phalaris aquatica,SPEC,,755,,
*Phalaris brachystachys,SHORT-SPIKED CANARY GRASS,,http://www.flickr.com/search/?w=all&q=jrbp Phalaris brachystachys,SPEC,,857,,
Phalaris californica,CALIFORNIA CANARY GRASS,,http://www.flickr.com/search/?q=jrbp%20Phalaris%20californica,SPEC,,756,,
Phalaris lemmonii,LEMMON’S CANARY GRASS,,http://www.flickr.com/search/?q=jrbp Phalaris lemmonii,spec,Collected in 1970 “Along a road”; not reported since,865,,
*Phalaris paradoxa,HOOD CANARY GRASS,,http://www.flickr.com/search/?q=jrbp Phalaris paradoxa,SPEC,,758,,
Pleuropogon californicus var. californicus,SEMAPHORE GRASS,,http://www.flickr.com/search/show/?q=jrbp Pleuropogon,SPEC,,759,,
*Poa annua,ANNUAL BLUE GRASS,,http://www.flickr.com/search/?q=jrbp Poa annua,SPEC,,760,,
*Poa bulbosa ssp. vivipara,BULBOUS BLUE GRASS,,http://www.flickr.com/search/?q=jrbp Poa bulbosa,SPEC,"First report May, 2014; extripated?",942,,
Poa howellii,HOWELL'S BLUE GRASS,,http://www.flickr.com/search/?q=jrbp Poa howellii,SPEC,Uncommon,761,,
*Poa pratensis ssp. pratensis,KENTUCKY BLUE GRASS,,http://www.flickr.com/search/?q=jrbp Poa pratensis,SPEC,,762,,
Poa secunda ssp. secunda,ONE-SIDED BLUE GRASS,,http://www.flickr.com/search/?q=jrbp Poa secunda,SPEC,,763,,
*Polypogon interruptus,DITCH BEARD GRASS,,http://www.flickr.com/search/?q=jrbp Polypogon monspeliensis,SPEC,,765,,
*Polypogon monspeliensis,"ANNUAL BEARD GRASS, RABBITFOOT GRASS",,http://www.flickr.com/search/?q=jrbp Polypogon monspeliensis,SPEC,,766,,
*Polypogon viridis (Agrostis v.),WATER BEARD GRASS,,http://www.flickr.com/search/?q=jrbp Polypogon viridis,SPEC,,695,,
Scribneria bolanderi,SCRIBNER GRASS,,http://www.flickr.com/search/?q=jrbp Scribneria bolanderi,SPEC,,767,,
*Setaria viridis,GREEN BRISTLE GRASS,,http://www.flickr.com/search/?q=jrbp Setaria viridis,SPEC,,829,,
Stipa lepida (Nassella l.),FOOTHILL NEEDLE GRASS,,http://www.flickr.com/search/?q=jrbp Stipa lepida,SPEC,,751,,
*Stipa miliacea var. miliacea (Piptatherum miliaceum),SMILO GRASS,,http://www.flickr.com/search/?q=jrbp Piptatherum,SPEC,,845,,
Stipa pulchra (Nassella p.),PURPLE NEEDLE GRASS,,http://www.flickr.com/search/?q=jrbp Stipa pulchra,SPEC,,752,,
Trisetum canescens,TALL FALSE OAT,,http://www.flickr.com/search/?q=jrbp Trisetum canescens,SPEC,,768,,
*N X Schedolium loliaceum (Festuca arundinacea x F. perennis),HYBRID LOLIUM,,http://www.flickr.com/search/?q=jrbp Festuca hybrid,SPEC,Branched forms of Festuca perennis,903,,
POTAMOGETONACEAE – PONDWEED FAMILY,,,,,,,,
*Potamogeton crispus,CRISP-LEAVED PONDWEED,,http://www.flickr.com/search/?q=jrbp Potamogeton crispus,SPEC,,775,,
Potamogeton foliosus ssp. foliosus (P. foliosus var. f.),LEAFY PONDWEED,,http://www.flickr.com/search/?q=jrbp Potamogeton foliosus,SPEC,Collected in 1893; report Lennihan and Woodward 9/30/95.,776,,
Potamogeton illinoensis,SHINING PONDWEED,,http://www.flickr.com/search/?q=jrbp Potamogeton illinoensis,SPEC,"Collected in 1964 and 1981 ""Edge of Searsville Lake near Causeway Bridge""; Lennihan and Woodward 10/6/94 ""near boat dock.""",777,,
Potamogeton pusillus (P. pusillus var. p.),SMALL PONDWEED,,http://www.flickr.com/search/?q=jrbp Potamogeton pusillus,spec,Collected in 1971; not reported since.,779,,
Stuckenia pectinata (Potamogeton pectinatus),FENNEL-LEAF PONDWEED,,http://www.flickr.com/search/?q=jrbp Stuckenia pectinata,SPEC,,778,,
RUSCACEAE – BUTCHER’S-BROOM FAMILY,,,,,,,,
Maianthemum racemosum (Smilacina racemosa),FAT SOLOMON,,http://www.flickr.com/search/?q=jrbp Maianthemum racemosa,SPEC,Infl. panicle,679,,
Maianthemum stellatum (Smilacina stellata),SLIM SOLOMON,,http://www.flickr.com/search/?q=jrbp Maianthemum stellata,SPEC,Infl. raceme,680,,
THEMIDACEAE – BRODIAEA FAMILY,,,,,,,,
Brodiaea elegans ssp. elegans,HARVEST BRODIAEA,,http://www.flickr.com/search/?q=jrbp Brodiaea elegans,SPEC,,662,,
Brodiaea terrestris ssp. terrestris,DWARF BRODIAEA,,http://www.flickr.com/search/?q=jrbp Brodiaea terrestris,SPEC,,663,,
Dichelostemma capitatum ssp. capitatum,BLUE DICKS,,http://www.flickr.com/search/?q=jrbp Dichelostemma capitatum,SPEC,"Infl umbel-like; perianth tube not narrowed above ovary; stamens 6, unequal (vs D. congestum)",669,,
Dichelostemma congestum,FORK-TOOTHED OOKOW,,http://www.flickr.com/search/?q=jrbp Dichelostemma congestum,SPEC,"Infl raceme-like; perianth tube +/- narrow above ovary; stamens 3, equal (vs D. capitatum)",670,,
Dichelostemma multiflorum,WILD HYACINTH,,http://www.flickr.com/search/?q=jrbp Dichelostemma multiflorum,SPEC,"Infl umbel-like; perianth tube narrowed above ovary; stamens 3, equal. Single location Rd B",816,,
Triteleia hyacinthina,"WHITE BRODIAEA, FOOL'S ONION",,http://www.flickr.com/search/?q=jrbp Triteleia hyacinthina,SPEC,,682,,
Triteleia ixioides ssp. ixioides,GOLDEN BRODIAEA,,http://www.flickr.com/search/?q=jrbp Triteleia ixioides,SPEC,,683,,
Triteleia laxa,ITHURIEL'S SPEAR,,http://www.flickr.com/search/?q=jrbp Triteleia laxa,SPEC,,684,,
TYPHACEAE – CATTAIL FAMILY,,,,,,,,
Sparganium eurycarpum var. eurycarpum (S. eurycarpum ssp. e.),BROAD-FRUITED BUR-REED,,http://www.flickr.com/search/?q=jrbp Sparganium eurycarpum,SPEC,,780,,
*Typha angustifolia,NARROW-LEAVED CATTAIL,,http://www.flickr.com/search/?q=jrbp Typha angustifolia,SPEC,Naked stem between staminate and pistillate flowers generally 1-12 cm; uncommon.,781,,
Typha latifolia,BROAD-LEAVED CATTAIL,,http://www.flickr.com/search/?q=jrbp Typha latifolia,SPEC,Naked stem between staminate and pistillate flowers generally 0; common.,782,,
